stable_ID	wt_1	wt_2	mut_1	mut_2
21ur-5998	7.7633315	9.6390388	9.950795	18.1475936
21ur-5999	16.6099085	16.0789428	7.449191	6.8867622
21ur-6	1.11936	2.0773828	1.167412	1.62863
21ur-60	105.1116201	65.063533	90.613377	61.0967854
21ur-600	2.238724	4.15476	1.612141	7.817411
21ur-6000	0.6860621	0.7478564	0.222364	0.0465322
21ur-6001	13.9740195	13.4198664	23.626194	12.4706052
21ur-6002	2.6359185	1.99428	2.22364	1.39597
21ur-6004	4.9107571	6.1905876	4.224912	10.2370644
21ur-6005	4.1163751	4.9857142	2.112463	1.9543558
21ur-6006	1.80543	2.11893	1.50096	1.62863
21ur-6007	2.094296	4.73643	1.556551	11.353897
21ur-6008	4.044151	3.9470262	3.891367	2.978063
21ur-1166	11.0491771	18.945738	34.132875	37.0861824
21ur-601	1.2276885	1.0802372	0.889456	5.5838632
21ur-6010	2.744245	3.074526	2.279232	2.1404844
21ur-5918	0.144434	0.207738	0.500319	0.604919
21ur-6012	3.0692256	2.9083328	1.556551	5.5373302
21ur-6013	2.63592	2.74214	2.72396	4.56016
21ur-6014	1.4443371	1.8280928	1.612141	1.3959666
21ur-6015	0	0.16619	0.055591	0.0930644
21ur-6016	1.2999025	1.5372652	2.668372	1.9543566
21ur-6017	0.324977	0.498571	0.166773	0.279193
21ur-6018	17.079379	27.8368662	35.74502	16.565458
21ur-6019	10.5436597	8.683451	9.72843	11.0746936
21ur-602	34.7364314	34.775333	54.368057	47.7885318
21ur-6020	0.0361085	0	0	0.0930644
21ur-6021	4.3330285	3.3238076	2.668371	6.2353166
21ur-6022	4.8024316	7.2708334	4.836416	3.6760492
21ur-2090	3.8997216	3.448448	9.061334	8.56193
21ur-6024	2.202617	1.4957176	1.334181	1.0702404
21ur-6025	2.1304055	2.492856	1.945686	3.3968488
21ur-6026	0	0.0830952	0.111182	0.0930644
21ur-6028	0.577736	0.207738	0.333546	1.2563722
21ur-603	97.5290941	94.5207812	138.477456	89.0626664
21ur-6030	67.4868876	42.2538856	156.044101	79.8492594
21ur-6031	46.868862	29.4572088	65.37502	31.0835118
21ur-6033	4.2608086	5.692016	2.223642	3.25725
21ur-6034	10.4714766	13.129081	19.067692	7.2124948
21ur-6035	4.0080515	3.988568	4.669641	6.374912
21ur-6036	6.7884085	8.4757056	7.949512	19.9622862
21ur-6038	0.3610855	0.4985712	0.444728	0.2791932
21ur-604	34.014237	23.2251186	46.585311	36.2485482
21ur-10613	1.01104	0.789404	2.501591	2.00088
21ur-6041	8.6660517	11.6748716	9.228106	7.3986224
21ur-6043	0.5416275	0.1661906	0.166773	0.0465322
21ur-6044	0.324977	0.7478566	0.333546	1.25637
21ur-6045	11.013117	9.34821	17.455591	15.122993
21ur-6047	6.3551	5.775118	7.615969	13.2151542
21ur-6048	2.9970085	3.4484452	2.612781	5.2581366
21ur-6049	1.6609945	1.8696376	1.945683	3.6295144
21ur-6050	23.6511107	21.6878806	27.628756	11.5400256
21ur-6051	2.05819	1.70345	1.778912	2.1870144
21ur-6052	0.6680073	0.3739282	0.389137	0.0930644
21ur-6053	1.22769	0.747857	0.667092	1.53556
21ur-6055	0.686062	0.2908328	0.055591	0.3722572
21ur-6056	1.444346	1.7865428	0.667092	1.6286236
21ur-6057	8.8465951	7.0630942	4.224913	5.4442696
21ur-6058	14.9850895	6.4814272	11.118183	9.352971
21ur-6059	5.2718497	5.484286	4.725237	1.8612892
21ur-606	0.144434	0.2908328	0.611501	0.7910476
21ur-6060	0.6860625	0.249286	1.44537	1.02371
21ur-6061	0.108326	0	0.055591	0.0930644
21ur-6063	0.2166515	0.4154762	0.55591	0.3722576
21ur-6064	25.7814775	29.4156944	38.191019	80.035435
21ur-6065	3.538646	1.8696422	0.722683	2.7454034
21ur-6066	145.7696681	76.8215272	147.260184	89.1557406
21ur-6067	20.8346053	15.3310234	17.455619	8.0500692
21ur-6069	20.3652	10.9270476	23.959719	11.1677612
21ur-607	23.3260696	26.0088004	45.084338	22.3354224
21ur-6070	49.6130716	27.4629236	66.820438	29.7340542
21ur-6071	0.2166515	0.1246428	0.111182	0.1861292
21ur-6073	0.072217	0.0415476	0.055591	0.186129
21ur-6074	0.0361085	0	0	0.0465322
21ur-6075	2.4012128	1.4126176	1.50096	0.279193
21ur-6076	0.0361085	0	0	0
21ur-6077	0.5777362	0.457024	0.055591	0.2791932
21ur-6078	1.5887756	2.1604736	1.11182	1.256369
21ur-6079	3.6830685	3.8639276	1.778914	1.9543578
21ur-608	33.4003881	28.3770082	44.306066	33.8289504
21ur-6081	0.541628	0.540119	1.223	1.72169
21ur-6082	3.574744	1.869643	4.391692	2.1404844
